talk,link,talk_type,review_count,status,abstract,notes,private_notes,reviewers,average_review_score
"Omotola: Internships and Mentorships, a Catalyst for Career Growth in Open Source and Tech Ecosystem.",https://cfp-2023.djangocon.africa/admin/talks/talk/2/change/,Regular talk - 25 minutes,2,S,"<p>Open source has widely grown to allow different tech career paths to enhance projects with their skills and provide jobs for those interested in working with open source. Open source contribution programs provide opportunities for interested individuals to become professionals.</p>
<p>Outreachy, a paid and remote internship OS program that empowers, grows talents, and prepares them for career growth. Outreachy provides internships to people subject to systemic bias and impacted by underrepresentation in the technical industry where they are living. The program empowers, grows talents, and prepares participants with employment needs using the skills they have acquired, giving them experience working on real-life projects, and networking with several persons in the OSS space while contributing to achieving the same goals.</p>
<p>Not only is the Outreachy program helping to build OS contribution experience, but the program is also done remotely, connects mentors with participants, and pays a sum of $7,000 to its participants.</p>
<p>At the end of this session, beginners and people on the intermediate level will have enough knowledge of how they can build a career in open source. Experts will also get more insights on how they can contribute to the advancement of open source contributions by giving back to the community as mentors, helping new contributors understand the open source and tech ecosystem.</p>","Having managed the largest women in the tech community, She Code Africa, for over 3 years, ensuring to create a safe space, and providing dedicated mentorship, resource, and professional guidance for members of this community to build their technical skills, I have experience and knowledge that it is important to provide these chances for people to get into tech and it is very important to provide them with the opportunity to not only but into use the skills they have acquired, work on real live project, network with several persons in the tech space while contribution to achieve same goals. This is exactly what the Outreachy program does. Managing the Outreachy community enables me to interact with and guide open-source program interns to make the best use and benefit of the program preparing themselves for a world of bigger employment (a full-time job in open source) and other opportunities.

As the community manager for Outreachy, I stand voice and in the best position to let the audience about Outreachy as a career opportunity in OS, and give tips on how to apply and increase their participation in the program.

With my experience managing both organizations that empower and provide skills necessary to start a career in tech and also make use of the skills acquired, this event audience needs me to give them several tips and also give answers to their questions regarding building a career in the open-source using a program like Outreachy among others.",,"k
Jess",1.875
tahaafarooq: Writing Security Tools In Django,https://cfp-2023.djangocon.africa/admin/talks/talk/3/change/,Regular talk - 25 minutes,2,S,"<p>The talk will cover a demonstration on how security tools can be made easily with django, where I shall use an API that I have developed in this case implement it in django to make a web application that performs a basic security scan. The audience of the talk are DevSecOps and Developers at large. From the talk they should expect to learn how they can easily use Django to write just more than a simple web app, and instead even security tools.</p>",,,"k
Jess",1.75
duncan: Next.js with Django Backend,https://cfp-2023.djangocon.africa/admin/talks/talk/4/change/,Regular talk - 25 minutes,4,S,"<p>In today's digital landscape, developers are faced with the challenge of building web applications that are not only visually engaging but also fast, scalable, and efficient. With the increasing demand for seamless user experiences across various platforms and devices, it is essential to utilize the right tools and frameworks to achieve these goals. The integration of Next.js, a powerful React framework, with Django, a robust Python web framework, offers an ideal solution for developing modern web applications that meet these high standards.</p>
<p>In this talk, we will explore the benefits of combining Next.js and Django to create web applications that are both high-performing and easy to maintain. We will discuss the key features of Next.js, including its server-rendered React components, automatic code splitting, and static site generation capabilities, and how these features complement Django's flexible and modular backend capabilities.</p>
<p>Throughout the presentation, we will delve into the practical aspects of setting up a Next.js project with Django as the backend, including: Configuring Django to serve as a RESTful API for Next.js.</p>
<p>By the end of this talk, attendees will have gained a solid understanding of the advantages of using Next.js with Django and will be equipped with the knowledge and tools needed to build their own fast, scalable, and robust web applications using these powerful frameworks.</p>",,,"k
Jess
hamub
Anna",1.6875
thulieblack: Taking Your Contributions To The Next Level,https://cfp-2023.djangocon.africa/admin/talks/talk/5/change/,Regular talk - 25 minutes,2,S,"<p>So you've made contributions to open source, but what's next? This session will explore strategies for stepping up your contributions, maintaining codebases, collaborating with other contributors, and making non-code contributions to open-source communities. 
Attendees will gain a deeper understanding of open-source project dynamics and develop a plan to make a meaningful impact that aligns with their interests and skills. So let's level up your contributions and make a positive impact!</p>",,,"k
Jess",1.875
thulieblack: The Power of Community: Unleashing Developer Opportunities,https://cfp-2023.djangocon.africa/admin/talks/talk/6/change/,Regular talk - 25 minutes,2,S,"<p>Django and Python are leading technologies that empower developers to create robust and scalable applications. However, the true power of these technologies lies not only in their capabilities but in the strength of the community. This talk will explore strategies and benefits of building a personal brand, leveraging community-driven activities such as open-source contributions, hackathons, and mentorship programs, and how active engagement can increase visibility and job opportunities.
Whether you are an experienced Django and Python developer or just starting your journey, this talk will inspire you to tap into the incredible power of community.</p>",,,"k
Jess",1.5
Nmachi: Redefining Gender Norms: Empowering Girls in Backend Development - Insights from my Journey in the Django Girls Community Aba,https://cfp-2023.djangocon.africa/admin/talks/talk/7/change/,Regular talk - 25 minutes,3,S,"<p>In the pursuit of redefining gender norms and inspiring girls to thrive in the field of backend development, personal journeys carry significant weight. Drawing from my own experience as a participant in the community, this conference lecture examines the transforming potential of the Django Girls Community and its influence on the empowerment of girls in the field of backend development. This session explores the difficulties that female programmers frequently run against, particularly in backend development. It displays the innovative programs carried out by the Django Girls Community to foster an inclusive environment and offer priceless tools for girls interested in backend programming.
The intended audience for this conference talk is anyone who is enthusiastic about supporting diversity and gender inclusiveness in the backend development industry. This includes programmers, tech enthusiasts, educators, industry professionals, and community leaders.
Attendees will learn important lessons about the value of encouraging an inclusive atmosphere and empowering girls in backend development. They will discover the positive effects of programs like the Django Girls Community and how they may encourage girls to pursue jobs in backend programming. The session will also offer doable tactics for fostering gender diversity and defying conventional programming standards.
The significance of encouraging girls to pursue careers in backend programming and challenging gender stereotypes are discussed in this conference lecture. It examines the difficulties experienced by females entering the sector, demonstrates the transformational impact of community support and mentoring, highlights success stories, and offers practical advice for cultivating inclusivity and advancing gender diversity in programming.</p>","Gathering statistics or research data on the gender gap in backend development, especially in Nigeria, would be valuable.
Contacting industry professionals, educators, or advocates who have knowledge of fostering gender diversity in the tech industry for future collaboration or guest contributions.
Discuss the importance of creating a supportive and inclusive environment for girls in backend development, emphasizing the need for mentorship programs, skill-building opportunities, and networking platforms.",,"k
hamub
Jess",1.8333333333333333
Douglas: Securing Django Web Applications: Best Practices and Techniques,https://cfp-2023.djangocon.africa/admin/talks/talk/8/change/,Regular talk - 45 minutes,2,S,"<p>By investigating best practices and methodologies, we are going to look into the subject of securing Django web applications in this talk. The importance of protecting web applications created using the Django framework increases as its popularity grows. The fundamental ideas of web application security, such as the value of a secure development lifecycle, will be covered first. Next, we'll examine several security tools and features supplied by Django, including input validation, authorization, and authentication, with a focus on how to use them correctly to reduce common risks. We'll also stress the importance of updating Django and any of its dependencies to fix any known security problems. Additionally, we'll discuss secure coding techniques, such as how to handle user input appropriately and safeguard important data.</p>",I recognize the value of protecting the security of web applications created with this potent framework as a Django web developer. I'll share my knowledge and go into the most effective methods and approaches for protecting Django web apps in this lecture. Every developer should be aware of them.,,"k
Jess",1.625
thechriskoka: Using OKRs To Empower Engineering & Product Teams,https://cfp-2023.djangocon.africa/admin/talks/talk/9/change/,Regular talk - 25 minutes,2,S,"<p>In this talk, I will dive into the practical application of Objectives and Key Results (OKRs) to empower engineering and product teams. The audience for this talk includes engineers, product managers, team leads, and anyone interested in improving collaboration and driving success within their organizations.</p>
<p>Attendees will gain valuable insights on how to leverage OKRs as a powerful framework to align engineering and product teams, set clear objectives, and measure outcomes effectively. I will share real-world examples and case studies that demonstrate the impact of OKRs on team motivation, innovation, and overall business success.</p>
<p>Throughout the talk, I will cover the following key topics:</p>
<ol>
<li>
<p>An introduction to the concept of OKRs and their significance in engineering and product management</p>
</li>
<li>
<p>Best practices for defining and cascading OKRs within teams and across the organization
Strategies to foster collaboration and accountability through OKRs</p>
</li>
<li>
<p>Measuring and tracking progress to ensure continuous improvement and adaptability
Leveraging data-driven insights to inform OKR setting and decision-making</p>
</li>
<li>
<p>Overcoming common challenges and pitfalls when implementing OKRs</p>
</li>
</ol>
<p>By attending this talk, participants will leave equipped with practical techniques and actionable tips to apply OKRs effectively within their own engineering and product teams. They will gain a deeper understanding of how OKRs can foster alignment, drive productivity, and empower teams to deliver outstanding results.</p>",N/A,,"k
Jess",1.5
kalistos: Hypermedia Unleashed: Exploring HTMX's Edge over React.js for Django SPA Development,https://cfp-2023.djangocon.africa/admin/talks/talk/10/change/,Regular talk - 45 minutes,4,S,"<p>Why should only <a> and &lt;form&gt; be able to make HTTP requests?
Why should only click and submit events trigger them?
Why should only GET and POST methods be available?</a></p><a>
<p>Hypermedia has been an unsung hero in web development for far too long. Despite its immense power, it has remained overlooked. However, recent breakthroughs, particularly with HTMX, has brought it back to focus. HTMX proves to be a compelling alternative to React.js for creating fast and flexible single-page applications with Django.</p>
<p>Join me on an exhilarating journey into the heart of HTMX, a lightweight JavaScript library that seamlessly integrates with Django, our beloved server-side framework. get an answer to the ""why"" questions above, discover how HTMX empowers you to meet your deadlines and deliver exceptional web experiences.</p>
<p>HTMX deserves your attention as it revolutionizes the way we approach web development. Let's explore the possibilities together and unlock the true potential of HTMX in your projects.</p></a>","Having gained experience implementing HTMX in projects like Schoolzy.ng and Oruulo.com, I can confidently say that HTMX provides a viable alternative to React.js and other SPA libraries and frameworks.

HTMX's simplicity  allow developers to quickly add interactivity and dynamic updates to their Django applications. In this talk, we will explore how seamlessly HTMX integrates into your Django codebase, leveraging existing server-side logic and templates to create compelling SPAs.

In my role as the Head of Learning at Ashpot Microsystems, I have found myself consistently recommending HTMX to students seeking to elevate their skills. Its reduced learning curve allows them to quickly grasp its concepts and get ahead in the game.

As we discuss Django, community building, and personal growth, let us not overlook the fact that Django is a web framework designed for developers with deadlines. HTMX steps in as a valuable ally in this regard, assisting developers in meeting their targets and delivering exceptional results.",,"k
hamub
Jess
muheue",1.5625
OlayinkaAtobiloye: Demystifying Time Complexity in Python: Analyzing Performance with Big O Notation,https://cfp-2023.djangocon.africa/admin/talks/talk/17/change/,Regular talk - 25 minutes,2,S,<p>Do you find analyzing the performance of Python code daunting? Join us in this session as we break down the complexities of time complexity analysis with Big O Notation. We'll explore the basics of time complexity and how to analyze the performance of your Python code using practical examples. You'll leave this session with a clear understanding of how to measure and improve the performance of your Python code. Don't let time complexity hold you back - come learn with us!</p>,,,"k
Anna",1.875
